COU,Country,IND,Indicator,SEX,Sex,AGE,Age Group,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
GRC,Greece,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,84.6,,
SVN,Slovenia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,3.4,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,36.9,,
TUR,Turkey,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,17,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,46.6,,
CZE,Czech Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,73.9,,
FRA,France,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,7.9,,
RUS,Russia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,63.3,,
NZL,New Zealand,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,4,,
CHL,Chile,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,73.7,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,3.4,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,52.5,,
CAN,Canada,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,68.4,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,27.1,,
NZL,New Zealand,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,15.3,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,56.3,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,57,,
ISL,Iceland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,19.3,,
AUS,Australia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,11.4,,
CZE,Czech Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,58.6,,
SVN,Slovenia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,10.8,,
OAVG,OECD - Average,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,63.3,E,Estimated value
POL,Poland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,8.7,,
OAVG,OECD - Average,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,42.8,,
NLD,Netherlands,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,59.7,,
ITA,Italy,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,24,,
NOR,Norway,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,52.8,,
TUR,Turkey,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,9.3,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,24.7,,
CHL,Chile,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,5,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,73.6,,
CHE,Switzerland,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,70.9,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,63.6,,
USA,United States,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,81.1,,
PRT,Portugal,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,30.1,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,27.4,,
NLD,Netherlands,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,79.6,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,65.6,,
MEX,Mexico,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,75.8,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,52.2,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,52.8,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,54.6,,
POL,Poland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,9.6,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,74.4,,
SVN,Slovenia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,7.8,,
KOR,Korea,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,1.7,,
HUN,Hungary,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,28.7,,
TUR,Turkey,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,11.6,,
OAVG,OECD - Average,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,72.9,,
FRA,France,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,6.2,,
ITA,Italy,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,3.7,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,46.7,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,4.2,,
LUX,Luxembourg,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,14.6,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,10.6,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,75.7,,
CAN,Canada,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,57.3,,
CHL,Chile,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,10.7,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,83.5,,
ISR,Israel,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,6.4,,
JPN,Japan,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,68.1,,
FIN,Finland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,7.9,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,79.1,,
NOR,Norway,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,73.4,,
DEU,Germany,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,7.1,,
NLD,Netherlands,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,5.6,,
USA,United States,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,64.3,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,69.1,,
DEU,Germany,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,8,,
POL,Poland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,25.1,,
IRL,Ireland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,58.2,,
GRC,Greece,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,10.9,,
ISR,Israel,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,7,,
ITA,Italy,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,6.6,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,84.2,,
AUT,Austria,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,10.2,,
JPN,Japan,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,5.8,,
SVK,Slovak Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,31.6,,
PRT,Portugal,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,57.7,,
JPN,Japan,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,4.8,,
AUS,Australia,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,69,,
CHL,Chile,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,9.6,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,69,,
FRA,France,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,22.1,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,76,,
CZE,Czech Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,73.4,,
SVK,Slovak Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,13.8,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,5.5,,
SVK,Slovak Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,10.9,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,69.7,,
AUT,Austria,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,49.7,,
HUN,Hungary,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,73.7,,
EST,Estonia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,72.8,,
IRL,Ireland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,20.6,,
USA,United States,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,16.1,,
AUS,Australia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,10.9,,
POL,Poland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,9.4,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,12.5,,
ISL,Iceland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,7.2,E,Estimated value
BEL,Belgium,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,8.6,,
PRT,Portugal,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,36.7,,
DNK,Denmark,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,6.2,,
EST,Estonia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,24.1,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,26.4,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,36.3,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,67.4,,
CZE,Czech Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,20.2,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,37.3,,
SVK,Slovak Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,12.6,,
NLD,Netherlands,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,68.1,,
DNK,Denmark,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,14.2,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,74.4,,
JPN,Japan,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,4.9,,
CHL,Chile,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,38,,
PRT,Portugal,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,71.6,,
SVN,Slovenia,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,46.7,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,4.2,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,16.2,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,10.3,,
EST,Estonia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,54.1,,
HUN,Hungary,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,54.4,,
OAVG,OECD - Average,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,63.5,E,Estimated value
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,75.2,,
GBR,United Kingdom,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,74.3,,
FIN,Finland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,37.4,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,51.8,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,65,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,86.6,,
NZL,New Zealand,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,5.1,,
AUT,Austria,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,4.5,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,91.8,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,75.9,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,7.3,,
OAVG,OECD - Average,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,42.6,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,73.9,,
CZE,Czech Republic,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,56.1,,
DNK,Denmark,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,4.3,,
SWE,Sweden,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,8.7,,
CAN,Canada,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,7.4,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,3.4,,
ISL,Iceland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,6.1,,
LUX,Luxembourg,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,3.1,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,27.5,,
SWE,Sweden,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,87.5,,
EST,Estonia,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,60.3,,
ESP,Spain,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,20.7,,
KOR,Korea,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,12.3,,
GBR,United Kingdom,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,50,,
SVK,Slovak Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,11.6,,
SVN,Slovenia,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,84.5,,
ISR,Israel,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,29.7,,
USA,United States,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,69.4,,
CZE,Czech Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,18.8,,
NLD,Netherlands,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,61.9,,
AUS,Australia,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1564,15-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,5,,
MEX,Mexico,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,34,,
GRC,Greece,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,57.4,,
HUN,Hungary,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,10.9,,
CZE,Czech Republic,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,2554,25-54,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,5.2,,
GRC,Greece,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,55.9,,
